id,comment_pt,annotator1_moralA,annotator1_moralA_rationales,annotator1_moralB,annotator1_moralB_rationales,annotator1_moralC,annotator1_moralC_rationales,annotator2_moralA,annotator2_moralA_rationales,annotator2_moralB,annotator2_moralB_rationales,annotator2_moralC,annotator2_moralC_rationales,hate_label,annotator1_hate_rationales,annotator2_hate_rationales,summary_post,themes_post,politician_gender,politician_party,link_post,comment
4089,"nossa me arrepiei, tomara q existam mais Gretas no mundo",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Wow, I got goosebumps! I hope there are more Gretas in the world."
4090,Me arrepiei com esse discurso😯,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,That speech gave me goosebumps! 😯
4091,Como uma adolescente e uma boa causa podem revolucionar o mundo.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,How a teenage girl and a good cause can revolutionize the world.
4092,"A Greta nao está sozinha, tem muitos adolescentes fazendo belos trabalhos, invlusive o nosso hermano Bruno Rodriguez, com um discurso forte e combativo, que me encheu de esperança de ver os terráqueos despertarem para cuidar do seu planeta, ja que sem ele a vida é impossivel.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Greta is not alone; there are many teenagers doing beautiful work, including our brother Bruno Rodriguez, with a strong and combative speech that filled me with hope to see Earthlings awaken to take care of their planet, since without it life is impossible."
4093,Maravilhosa Greta!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Wonderful Greta!!!
4094,Mais maturidade que muita gente GRANDE.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,More mature than many grown-ups.
4095,"Demais! Quem dera, uma infância já com essa consciência! Será que ainda dará tempo?",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Amazing! If only we could have a childhood with this awareness! I wonder if there's still time?
4096,"Podemos mudar de sistema, não de planeta. Baita discurso da Greta.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"We can change our system, not our planet. Great speech by Greta."
4097,😭😭😭 morro só de pensar num futuro devastado por causa do dinheiro. 😭😭,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,😭😭😭 I die just thinking about a future devastated because of money. 😭😭
4098,O sistema JÁ ESTÁ EM COLAPSO!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,The system is ALREADY COLLAPSING!!!
4099,Maturidade e coragem👏👏👏👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Maturity and courage 👏👏👏👏👏👏
4100,MITO segue firme obrigado,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"The myth remains strong, thank you."
4101,Muito forte ! Mas não tocará os corações dos poderosos 😢😢😢,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Very powerful! But it won't touch the hearts of the powerful 😢😢😢
4102,Ela simplesmente foi direta no fato !,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,She was simply direct about the facts!
